sample	short_count	long_count	ratio	total_count	group
seq003213	4216055	33549080	0.12566827465909647	38601579	healthy
seq003237	4252273	30968679	0.1373088274123672	36178400	healthy
seq003331	2962624	30562897	0.09693531342922106	34347432	healthy
seq046366	4687797	40048589	0.11705273811269605	47619594	healthy
seq046368	5139290	44409838	0.11572413301755345	50524057	healthy
seq046369	7856680	59848577	0.13127597002013933	68438735	healthy
seq046417	10153539	59461936	0.17075695281768155	71357548	healthy
seq046449	6128107	43969023	0.13937328104834168	50874921	healthy
seq046566	5453881	41923551	0.13009110320831363	49589124	healthy
seq046606	5219395	44047649	0.11849429239685415	50441293	healthy
seq046614	6671439	60954328	0.10944979985670583	68826555	healthy
seq046618	8563178	56030009	0.15283199401235148	66011056	healthy
seq046623	5373725	53543899	0.100361107434481	60200108	healthy
seq046639	11260131	53248321	0.21146452674066474	67236856	healthy
seq046641	8514682	59547833	0.14298894806130058	71291282	healthy
seq046749	4749565	37086761	0.12806631994635498	43238728	healthy
seq046750	5834559	42165450	0.13837298072236867	49320479	healthy
seq046758	8890904	51931971	0.1712028992698929	61755277	healthy
seq046810	4544750	56619011	0.08026897538001856	62410895	healthy
seq047238	8482954	49107639	0.17274204528545956	60189658	healthy
seq047248	6381769	49573565	0.128733307761909	57067561	healthy
seq047288	6834875	49792682	0.13726665697581825	57560853	healthy
seq047303	7593656	53326267	0.14239991709901614	62269052	healthy
seq047656	7481988	55295341	0.13530955528423272	64625389	healthy
seq047660	9175579	46311321	0.1981282071396754	58647359	healthy
seq047702	7254211	55791609	0.13002333379558922	64928286	healthy
seq047715	6408447	41762862	0.15344846337399004	49370539	healthy
seq047845	8558755	54595679	0.15676616092639858	65305912	healthy
seq047854	7335543	49472498	0.14827516896357246	58252931	healthy
seq047877	8153818	65368435	0.12473631960134887	75133468	healthy
seq047894	4487547	40994911	0.10946595298133469	46167746	healthy
seq047898	7940073	49994864	0.1588177737617208	59196098	healthy
seq048030	5794354	47873414	0.12103490258706012	54672564	healthy
seq048091	8744003	62447936	0.14002068859409542	71844554	healthy
seq048117	6377660	47688265	0.13373646535473666	55415414	healthy
seq048120	8016753	73827079	0.10858824578444991	83325401	healthy
seq048355	9692437	53496031	0.18118048795059208	63821792	healthy
seq052440	4534063	52606534	0.08618821000448347	58956047	healthy
seq052445	5842198	51587379	0.11324859128819086	59017773	healthy
seq052446	4752621	42754421	0.11116092532278708	48074259	healthy
